Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,1.3925323486328125,1.3479984998703003,0.2666666805744171,0.30000001192092896
2,1.3829169273376465,1.3511219024658203,0.2666666805744171,0.38333332538604736
3,1.378603458404541,1.3523064851760864,0.2666666805744171,0.38333332538604736
4,1.3736580610275269,1.3538144826889038,0.273333340883255,0.30000001192092896
5,1.363640546798706,1.3514536619186401,0.3199999928474426,0.30000001192092896
6,1.374881625175476,1.3514275550842285,0.2800000011920929,0.30000001192092896
7,1.3794313669204712,1.3538661003112793,0.27000001072883606,0.3166666626930237
8,1.3721216917037964,1.355969786643982,0.2800000011920929,0.30000001192092896
9,1.373869776725769,1.3549273014068604,0.2933333218097687,0.30000001192092896
10,1.381012201309204,1.3562828302383423,0.25333333015441895,0.30000001192092896
11,1.3804359436035156,1.3560521602630615,0.2866666615009308,0.3166666626930237
12,1.3733291625976562,1.3558933734893799,0.2800000011920929,0.3166666626930237
13,1.3776733875274658,1.3558653593063354,0.23333333432674408,0.3166666626930237
14,1.3669452667236328,1.3558871746063232,0.31333333253860474,0.3166666626930237
15,1.3777580261230469,1.3556817770004272,0.24666666984558105,0.3166666626930237
16,1.3668828010559082,1.3553909063339233,0.2866666615009308,0.3166666626930237
17,1.3683072328567505,1.3553779125213623,0.273333340883255,0.3166666626930237
18,1.3721798658370972,1.3552719354629517,0.3033333420753479,0.3166666626930237
19,1.374618649482727,1.3553599119186401,0.25999999046325684,0.3166666626930237
20,1.376546025276184,1.3552367687225342,0.2566666603088379,0.3166666626930237
